Date,Shape,Spacing_cm,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-17,Flat,62,6.58,27.9,32.06,81.09,0.01,64.87,0.008,0.53,0.67
2024-02-17,Flat,77,6.58,27.9,28.06,82.36,0.01,65.89,0.008,0.54,0.67
2024-02-17,Flat,93,6.58,27.9,25.06,83.31,0.01,66.65,0.008,0.54,0.67
2024-02-17,V-Shape,62,6.91,27.9,31.07,81.41,0.01,65.12,0.009,0.56,0.67
2024-02-17,V-Shape,77,6.91,27.9,27.07,82.67,0.01,66.14,0.009,0.57,0.67
2024-02-17,V-Shape,93,6.91,27.9,24.07,83.62,0.01,66.9,0.009,0.57,0.67
2024-02-17,Inverted-V,62,7.11,27.9,30.08,81.72,0.011,65.38,0.009,0.58,0.67
2024-02-17,Inverted-V,77,7.11,27.9,26.08,82.99,0.011,66.39,0.009,0.58,0.67
2024-02-17,Inverted-V,93,7.11,27.9,23.08,83.94,0.01,67.15,0.009,0.59,0.67
2024-02-18,Flat,62,6.48,27.49,31.65,81.22,0.01,64.98,0.008,0.52,0.67
2024-02-18,Flat,77,6.48,27.49,27.65,82.49,0.01,65.99,0.008,0.53,0.67
2024-02-18,Flat,93,6.48,27.49,24.65,83.44,0.01,66.75,0.008,0.53,0.67
2024-02-18,V-Shape,62,6.8,27.49,30.66,81.54,0.01,65.23,0.008,0.55,0.67
2024-02-18,V-Shape,77,6.8,27.49,26.66,82.8,0.01,66.24,0.008,0.56,0.67
2024-02-18,V-Shape,93,6.8,27.49,23.66,83.75,0.01,67.0,0.008,0.56,0.67
2024-02-18,Inverted-V,62,6.99,27.49,29.66,81.85,0.01,65.48,0.009,0.57,0.67
2024-02-18,Inverted-V,77,6.99,27.49,25.66,83.12,0.01,66.49,0.009,0.58,0.67
2024-02-18,Inverted-V,93,6.99,27.49,22.66,84.07,0.01,67.25,0.009,0.58,0.67
2024-02-19,Flat,62,6.48,28.09,32.25,81.03,0.01,64.83,0.008,0.52,0.67
2024-02-19,Flat,77,6.48,28.09,28.25,82.3,0.01,65.84,0.008,0.53,0.67
2024-02-19,Flat,93,6.48,28.09,25.25,83.25,0.01,66.6,0.008,0.53,0.67
2024-02-19,V-Shape,62,6.81,28.09,31.26,81.35,0.01,65.08,0.008,0.55,0.67
2024-02-19,V-Shape,77,6.81,28.09,27.26,82.61,0.01,66.09,0.008,0.56,0.67
2024-02-19,V-Shape,93,6.81,28.09,24.26,83.56,0.01,66.85,0.008,0.56,0.67
2024-02-19,Inverted-V,62,7.0,28.09,30.26,81.66,0.01,65.33,0.009,0.57,0.67
2024-02-19,Inverted-V,77,7.0,28.09,26.26,82.93,0.01,66.34,0.009,0.57,0.67
2024-02-19,Inverted-V,93,7.0,28.09,23.26,83.88,0.01,67.1,0.009,0.58,0.67
2024-02-20,Flat,62,6.39,28.55,32.71,80.89,0.01,64.71,0.008,0.52,0.67
2024-02-20,Flat,77,6.39,28.55,28.71,82.15,0.009,65.72,0.008,0.52,0.67
2024-02-20,Flat,93,6.39,28.55,25.71,83.1,0.009,66.48,0.008,0.53,0.67
2024-02-20,V-Shape,62,6.71,28.55,31.72,81.2,0.01,64.96,0.008,0.54,0.67
2024-02-20,V-Shape,77,6.71,28.55,27.72,82.47,0.01,65.97,0.008,0.55,0.67
2024-02-20,V-Shape,93,6.71,28.55,24.72,83.42,0.01,66.73,0.008,0.55,0.67
2024-02-20,Inverted-V,62,6.91,28.55,30.72,81.52,0.01,65.21,0.009,0.56,0.67
2024-02-20,Inverted-V,77,6.91,28.55,26.72,82.78,0.01,66.23,0.009,0.57,0.67
2024-02-20,Inverted-V,93,6.91,28.55,23.72,83.73,0.01,66.99,0.009,0.57,0.67
2024-02-21,Flat,62,5.95,29.07,33.22,80.73,0.009,64.58,0.007,0.48,0.67
2024-02-21,Flat,77,5.95,29.07,29.22,81.99,0.009,65.59,0.007,0.48,0.67
2024-02-21,Flat,93,5.95,29.07,26.22,82.94,0.009,66.35,0.007,0.49,0.67
2024-02-21,V-Shape,62,6.25,29.07,32.23,81.04,0.009,64.83,0.008,0.5,0.67
2024-02-21,V-Shape,77,6.25,29.07,28.23,82.31,0.009,65.85,0.008,0.51,0.67
2024-02-21,V-Shape,93,6.25,29.07,25.23,83.26,0.009,66.61,0.008,0.51,0.67
2024-02-21,Inverted-V,62,6.43,29.07,31.23,81.36,0.01,65.08,0.008,0.52,0.67
2024-02-21,Inverted-V,77,6.43,29.07,27.23,82.62,0.01,66.1,0.008,0.53,0.67
2024-02-21,Inverted-V,93,6.43,29.07,24.23,83.57,0.009,66.86,0.008,0.53,0.67
2024-02-22,Flat,62,5.72,29.71,33.85,80.52,0.009,64.42,0.007,0.46,0.67
2024-02-22,Flat,77,5.72,29.71,29.85,81.79,0.008,65.43,0.007,0.46,0.67
2024-02-22,Flat,93,5.72,29.71,26.85,82.74,0.008,66.19,0.007,0.47,0.67
2024-02-22,V-Shape,62,6.0,29.71,32.86,80.84,0.009,64.67,0.007,0.48,0.67
2024-02-22,V-Shape,77,6.0,29.71,28.86,82.11,0.009,65.68,0.007,0.49,0.67
2024-02-22,V-Shape,93,6.0,29.71,25.86,83.06,0.009,66.44,0.007,0.49,0.67
2024-02-22,Inverted-V,62,6.18,29.71,31.86,81.15,0.009,64.92,0.008,0.5,0.67
2024-02-22,Inverted-V,77,6.18,29.71,27.86,82.42,0.009,65.94,0.008,0.5,0.67
2024-02-22,Inverted-V,93,6.18,29.71,24.86,83.37,0.009,66.7,0.008,0.51,0.67
2024-02-23,Flat,62,6.25,30.83,34.99,80.17,0.009,64.13,0.008,0.5,0.67
2024-02-23,Flat,77,6.25,30.83,30.99,81.43,0.009,65.15,0.008,0.51,0.67
2024-02-23,Flat,93,6.25,30.83,27.99,82.38,0.009,65.91,0.008,0.51,0.67
2024-02-23,V-Shape,62,6.56,30.83,33.99,80.48,0.01,64.38,0.008,0.53,0.67
2024-02-23,V-Shape,77,6.56,30.83,29.99,81.75,0.01,65.4,0.008,0.53,0.67
2024-02-23,V-Shape,93,6.56,30.83,26.99,82.7,0.01,66.16,0.008,0.54,0.67
2024-02-23,Inverted-V,62,6.75,30.83,33.0,80.8,0.01,64.64,0.008,0.54,0.67
2024-02-23,Inverted-V,77,6.75,30.83,29.0,82.06,0.01,65.65,0.008,0.55,0.67
2024-02-23,Inverted-V,93,6.75,30.83,26.0,83.01,0.01,66.41,0.008,0.55,0.67
2024-02-24,Flat,62,5.66,30.28,34.42,80.34,0.008,64.28,0.007,0.45,0.67
2024-02-24,Flat,77,5.66,30.28,30.42,81.61,0.008,65.29,0.007,0.46,0.67
2024-02-24,Flat,93,5.66,30.28,27.42,82.56,0.008,66.05,0.007,0.46,0.67
2024-02-24,V-Shape,62,5.94,30.28,33.43,80.66,0.009,64.53,0.007,0.48,0.67
2024-02-24,V-Shape,77,5.94,30.28,29.43,81.93,0.009,65.54,0.007,0.48,0.67
2024-02-24,V-Shape,93,5.94,30.28,26.43,82.88,0.009,66.3,0.007,0.49,0.67
2024-02-24,Inverted-V,62,6.11,30.28,32.43,80.97,0.009,64.78,0.008,0.49,0.67
2024-02-24,Inverted-V,77,6.11,30.28,28.43,82.24,0.009,65.79,0.008,0.5,0.67
2024-02-24,Inverted-V,93,6.11,30.28,25.43,83.19,0.009,66.55,0.008,0.5,0.67
2024-02-25,Flat,62,6.23,29.66,33.82,80.54,0.009,64.43,0.008,0.5,0.67
2024-02-25,Flat,77,6.23,29.66,29.82,81.8,0.009,65.44,0.008,0.51,0.67
2024-02-25,Flat,93,6.23,29.66,26.82,82.75,0.009,66.2,0.008,0.51,0.67
2024-02-25,V-Shape,62,6.54,29.66,32.82,80.85,0.01,64.68,0.008,0.53,0.67
2024-02-25,V-Shape,77,6.54,29.66,28.82,82.12,0.01,65.69,0.008,0.53,0.67
2024-02-25,V-Shape,93,6.54,29.66,25.82,83.07,0.01,66.45,0.008,0.54,0.67
2024-02-25,Inverted-V,62,6.73,29.66,31.83,81.17,0.01,64.93,0.008,0.54,0.67
2024-02-25,Inverted-V,77,6.73,29.66,27.83,82.43,0.01,65.95,0.008,0.55,0.67
2024-02-25,Inverted-V,93,6.73,29.66,24.83,83.38,0.01,66.71,0.008,0.55,0.67
2024-02-26,Flat,62,5.71,29.4,33.54,80.62,0.008,64.5,0.007,0.46,0.67
2024-02-26,Flat,77,5.71,29.4,29.54,81.89,0.008,65.51,0.007,0.46,0.67
2024-02-26,Flat,93,5.71,29.4,26.54,82.84,0.008,66.27,0.007,0.47,0.67
2024-02-26,V-Shape,62,5.99,29.4,32.55,80.94,0.009,64.75,0.007,0.48,0.67
2024-02-26,V-Shape,77,5.99,29.4,28.55,82.2,0.009,65.76,0.007,0.49,0.67
2024-02-26,V-Shape,93,5.99,29.4,25.55,83.15,0.009,66.52,0.007,0.49,0.67
2024-02-26,Inverted-V,62,6.16,29.4,31.55,81.25,0.009,65.0,0.008,0.5,0.67
2024-02-26,Inverted-V,77,6.16,29.4,27.55,82.52,0.009,66.02,0.008,0.5,0.67
2024-02-26,Inverted-V,93,6.16,29.4,24.55,83.47,0.009,66.78,0.008,0.51,0.67
2024-02-27,Flat,62,6.11,29.52,33.67,80.58,0.009,64.47,0.008,0.49,0.67
2024-02-27,Flat,77,6.11,29.52,29.67,81.85,0.009,65.48,0.008,0.5,0.67
2024-02-27,Flat,93,6.11,29.52,26.67,82.8,0.009,66.24,0.008,0.5,0.67
