Month,Shape,Spacing_cm,Connection,Energy_kWh,Reference_Energy_kWh,Deviation_%
March,Flat,77,TSSC,14.5894,13.895075,4.996914374337664
March,Flat,93,Se-P,14.02965,13.895075,0.968508626257864
March,Flat,93,TCT,15.011775,13.895075,8.036660471426025
March,Flat,93,TSSC,14.731275,13.895075,6.017959600793805
March,Inverted-V,62,Se-P,14.8414,13.895075,6.810506600360198
March,Inverted-V,62,TCT,15.87975,13.895075,14.283298218973265
March,Inverted-V,62,TSSC,16.3247,13.895075,17.485511952976143
March,Inverted-V,77,Se-P,15.036825,13.895075,8.216940174846124
March,Inverted-V,77,TCT,16.089525,13.895075,15.793005795218795
March,Inverted-V,77,TSSC,16.54065,13.895075,19.039659735553776
March,Inverted-V,93,Se-P,15.18205,13.895075,9.262094663037084
March,Inverted-V,93,TCT,16.244875,13.895075,16.91102782820532
March,Inverted-V,93,TSSC,16.70085,13.895075,20.19258622209667
March,V-Shape,62,Se-P,14.4055,13.895075,3.6734238570140834
March,V-Shape,62,TCT,15.269925,13.895075,9.894512983916966
March,V-Shape,62,TSSC,15.269925,13.895075,9.894512983916966
March,V-Shape,77,Se-P,14.59635,13.895075,5.046932096444237
March,V-Shape,77,TCT,15.4721,13.895075,11.349524921599912
March,V-Shape,77,TSSC,15.4721,13.895075,11.349524921599912
March,V-Shape,93,Se-P,14.737725,13.895075,6.064378925626519
March,V-Shape,93,TCT,15.622375,13.895075,12.431023222256805
March,V-Shape,93,TSSC,15.622375,13.895075,12.431023222256805
May,Flat,62,Se-P,22.8025,23.0974,-1.2767670820092387
May,Flat,62,TCT,12.1986,23.0974,-47.18626338895287
May,Flat,62,TSSC,11.970325,23.0974,-48.17457809104055
May,Flat,77,Se-P,23.0974,23.0974,0.0
May,Flat,77,TCT,12.357,23.0974,-46.50047191458779
May,Flat,77,TSSC,12.126275,23.0974,-47.49939387117165
May,Flat,93,Se-P,11.658525,23.0974,-49.52451358161525
May,Flat,93,TCT,12.474975,23.0974,-45.98970013940963
May,Flat,93,TSSC,12.2416,23.0974,-47.00009524881589
May,Inverted-V,62,Se-P,24.6927,23.0974,6.90683799908214
May,Inverted-V,62,TCT,13.209975,23.0974,-42.80752379055651
May,Inverted-V,62,TSSC,13.5804,23.0974,-41.20377185310901
May,Inverted-V,77,Se-P,25.011400000000002,23.0974,8.28664698191139
May,Inverted-V,77,TCT,13.3806,23.0974,-42.06880428100133
May,Inverted-V,77,TSSC,13.755475,23.0974,-40.445786105795456
May,Inverted-V,93,Se-P,25.24895,23.0974,9.31511771887745
May,Inverted-V,93,TCT,13.50805,23.0974,-41.51701057261856
May,Inverted-V,93,TSSC,13.8867,23.0974,-39.87764856650532
May,Unknown,93,Se-P,11.658525,23.0974,-49.52451358161525
May,V-Shape,62,Se-P,23.9634,23.0974,3.749339752526257
May,V-Shape,62,TCT,12.81995,23.0974,-44.49613376397343
May,V-Shape,62,TSSC,12.940225,23.0974,-43.975404158043766
May,V-Shape,77,Se-P,24.2752,23.0974,5.09927524310096
May,V-Shape,77,TCT,12.985975,23.0974,-43.77732991592128
May,V-Shape,77,TSSC,13.1074,23.0974,-43.251621394615846
May,V-Shape,93,Se-P,24.50415,23.0974,6.090512352039618
May,V-Shape,93,TCT,13.11,23.0974,-43.240364716375005
May,V-Shape,93,TSSC,13.2322,23.0974,-42.711300839055475
November,Flat,62,Se-P,18.55095,9.391075,97.53808802506634
November,Flat,62,TCT,19.8481,9.391075,111.35067071661122
November,Flat,62,TSSC,9.739125,9.391075,3.7061784726455578
November,Flat,77,Se-P,9.391075,9.391075,0.0
November,Flat,77,TCT,20.0954,9.391075,113.98402206350178
November,Flat,77,TSSC,9.86025,9.391075,4.995966915395734
November,Flat,93,Se-P,9.4764,9.391075,0.9085754293304995
November,Flat,93,TCT,20.2788,9.391075,115.9369401266628
November,Flat,93,TSSC,9.95045,9.391075,5.956453334682124
November,Inverted-V,62,Se-P,20.0982,9.391075,114.01383760645076
November,Inverted-V,62,TCT,10.751975,9.391075,14.491418714044974
November,Inverted-V,62,TSSC,11.053975,9.391075,17.707237989261067
November,Inverted-V,77,Se-P,20.34645,9.391075,116.6573049411276
November,Inverted-V,77,TCT,10.885075,9.391075,15.9087218449432
November,Inverted-V,77,TSSC,11.19075,9.391075,19.16367402027988
November,Inverted-V,93,Se-P,20.5318,9.391075,118.63098740027098
November,Inverted-V,93,TCT,10.984675,9.391075,16.969303301272735
November,Inverted-V,93,TSSC,11.291725,9.391075,20.238897037879035
November,V-Shape,62,Se-P,9.750625,9.391075,3.8286351669004737
November,V-Shape,62,TCT,10.416225,9.391075,10.916215662211194
November,V-Shape,62,TSSC,10.238225,9.391075,9.020799003308984
November,V-Shape,77,Se-P,9.871825,9.391075,5.119222240265344
November,V-Shape,77,TCT,10.545825,9.391075,12.296249364423135
November,V-Shape,77,TSSC,10.365625,9.391075,10.377406207489544
November,V-Shape,93,Se-P,9.961325,9.391075,6.072254773814496
November,V-Shape,93,TCT,10.6427,9.391075,13.327813908418351
November,V-Shape,93,TSSC,10.460075,9.391075,11.383148361609283
October,Flat,62,Se-P,10.902975,,
October,Flat,62,TCT,11.666125,,
October,Flat,77,TCT,11.81355,,
October,Flat,93,TCT,11.923375,,
October,Inverted-V,62,Se-P,11.810525,,
October,Inverted-V,77,Se-P,11.958475,,
October,Inverted-V,93,Se-P,12.06945,,
September,Flat,62,Se-P,12.3667,10.92645,13.181316896155648
September,Flat,62,TCT,13.232475,10.92645,21.10497920184506
September,Flat,62,TSSC,11.32665,10.92645,3.6626717735403527
September,Flat,77,Se-P,10.92645,10.92645,0.0
September,Flat,77,TCT,13.4058,10.92645,22.691267520557894
September,Flat,77,TSSC,11.47215,10.92645,4.994302815644589
September,Flat,93,Se-P,11.029675,10.92645,0.9447258716234306
September,Flat,93,TCT,13.5346,10.92645,23.870058436180077
September,Flat,93,TSSC,11.5808,10.92645,5.98867884811626
September,Inverted-V,62,Se-P,13.39115,10.92645,22.55718920600926
September,Inverted-V,62,TCT,12.50135,10.92645,14.413647616563471
September,Inverted-V,62,TSSC,12.852925,10.92645,17.631298363146307
September,Inverted-V,77,Se-P,13.5645,10.92645,24.143706327306667
September,Inverted-V,77,TCT,12.66145,10.92645,15.878899368047255
September,Inverted-V,77,TSSC,13.01695,10.92645,19.13247212040506
September,Inverted-V,93,Se-P,13.69415,10.92645,25.330276530803687
September,Inverted-V,93,TCT,12.781475,10.92645,16.977380576490987
September,Inverted-V,93,TSSC,13.139025,10.92645,20.249715140782225
September,V-Shape,62,Se-P,11.33745,10.92645,3.761514490067676
September,V-Shape,62,TCT,12.01815,10.92645,9.991351262303853
September,V-Shape,62,TSSC,12.01815,10.92645,9.991351262303853
September,V-Shape,77,Se-P,11.4838,10.92645,5.100924820046763
September,V-Shape,77,TCT,12.17275,10.92645,11.40626644518576
September,V-Shape,77,TSSC,12.17275,10.92645,11.40626644518576
September,V-Shape,93,Se-P,11.59195,10.92645,6.090724800827347
September,V-Shape,93,TCT,12.2875,10.92645,12.45647030828859
September,V-Shape,93,TSSC,12.2875,10.92645,12.45647030828859
