Week,Shape,Spacing_cm,Irr_kWh_m2
36,V-Shape,77,37.070565
36,V-Shape,93,37.070565
37,Flat,62,36.825815
37,Flat,77,36.825815
37,Flat,93,36.825815
37,Inverted-V,62,39.77188
37,Inverted-V,77,39.77188
37,Inverted-V,93,39.77188
37,V-Shape,62,38.6671275
37,V-Shape,77,38.6671275
37,V-Shape,93,38.6671275
38,Flat,62,45.58242
38,Flat,77,45.58242
38,Flat,93,45.58242
38,Inverted-V,62,49.22903
38,Inverted-V,77,49.22903
38,Inverted-V,93,49.22903
38,V-Shape,62,47.861545
38,V-Shape,77,47.861545
38,V-Shape,93,47.861545
39,Flat,62,36.5842225
39,Flat,77,36.5842225
39,Flat,93,36.5842225
39,Inverted-V,62,39.51099
39,Inverted-V,77,39.51099
39,Inverted-V,93,39.51099
39,V-Shape,62,38.41343
39,V-Shape,77,38.41343
39,V-Shape,93,38.41343
40,Flat,62,33.3103125
40,Flat,77,33.3103125
40,Flat,93,33.3103125
40,Inverted-V,62,35.975165
40,Inverted-V,77,35.975165
40,Inverted-V,93,35.975165
40,V-Shape,62,34.97584
40,V-Shape,77,34.97584
40,V-Shape,93,34.97584
41,Flat,62,31.8527925
41,Flat,77,31.8527925
41,Flat,93,31.8527925
41,Inverted-V,62,34.4010025
41,Inverted-V,77,34.4010025
41,Inverted-V,93,34.4010025
41,V-Shape,62,33.44541
41,V-Shape,77,33.44541
41,V-Shape,93,33.44541
42,Flat,62,29.784965
42,Flat,77,29.784965
42,Flat,93,29.784965
42,Inverted-V,62,32.167765
42,Inverted-V,77,32.167765
42,Inverted-V,93,32.167765
42,V-Shape,62,31.2742425
42,V-Shape,77,31.2742425
42,V-Shape,93,31.2742425
43,Flat,62,30.6127775
43,Flat,77,30.6127775
43,Flat,93,30.6127775
43,Inverted-V,62,33.061795
43,Inverted-V,77,33.061795
43,Inverted-V,93,33.061795
43,V-Shape,62,32.143435
43,V-Shape,77,32.143435
43,V-Shape,93,32.143435
44,Flat,62,34.446895
44,Flat,77,34.446895
44,Flat,93,34.446895
44,Inverted-V,62,37.20265
44,Inverted-V,77,37.20265
44,Inverted-V,93,37.20265
44,V-Shape,62,36.169265
44,V-Shape,77,36.169265
44,V-Shape,93,36.169265
45,Flat,62,34.5636325
45,Flat,77,34.5636325
45,Flat,93,34.5636325
45,Inverted-V,62,37.3287525
45,Inverted-V,77,37.3287525
45,Inverted-V,93,37.3287525
45,V-Shape,62,36.29182
45,V-Shape,77,36.29182
45,V-Shape,93,36.29182
46,Flat,62,30.783195
46,Flat,77,30.783195
46,Flat,93,30.783195
46,Inverted-V,62,33.245855
46,Inverted-V,77,33.245855
46,Inverted-V,93,33.245855
46,V-Shape,62,32.3223575
46,V-Shape,77,32.3223575
46,V-Shape,93,32.3223575
47,Flat,62,24.34379
47,Flat,77,24.34379
47,Flat,93,24.34379
47,Inverted-V,62,26.291315
47,Inverted-V,77,26.291315
47,Inverted-V,93,26.291315
47,V-Shape,62,25.561005
47,V-Shape,77,25.561005
47,V-Shape,93,25.561005
48,Flat,62,18.4572075
48,Flat,77,18.4572075
48,Flat,93,18.4572075
48,Inverted-V,62,19.9337775
48,Inverted-V,77,19.9337775
48,Inverted-V,93,19.9337775
